CMDLINE D:\Wrishav\floorOverlay\.venv\Scripts\python.exe .\app.py
MEM 6.664062 1750936480.7957
MEM 6.664062 1750936480.8965
MEM 6.664062 1750936480.9973
MEM 6.664062 1750936481.0978
MEM 6.664062 1750936481.1984
MEM 6.664062 1750936481.2991
MEM 6.664062 1750936481.4000
MEM 6.664062 1750936481.5008
MEM 6.664062 1750936481.6013
MEM 6.664062 1750936481.7021
MEM 6.664062 1750936481.8029
MEM 6.664062 1750936481.9035
MEM 6.664062 1750936482.0042
MEM 6.664062 1750936482.1051
MEM 6.664062 1750936482.2060
MEM 6.664062 1750936482.3067
MEM 6.664062 1750936482.4075
MEM 6.664062 1750936482.5081
MEM 6.664062 1750936482.6087
MEM 6.664062 1750936482.7094
MEM 6.664062 1750936482.8100
MEM 6.664062 1750936482.9106
MEM 6.664062 1750936483.0111
